area_code,area,population,square_km,people_per_square_km
S92000003,Scotland,5463300,77910.79429999998,70.12250419323476
S12000033,Aberdeen City,228670,185.6923,1231.445784235534
S12000034,Aberdeenshire,261210,6312.5828,41.379259215419715
S12000041,Angus,116200,2181.6493,53.26245606936
S12000035,Argyll and Bute,85870,6908.6873,12.429278714061933
S12000036,City of Edinburgh,524930,263.3519,1993.2645255264913
S12000005,Clackmannanshire,51540,158.9722,324.2076287552164
S12000006,Dumfries and Galloway,148860,6426.8724,23.162121594323235
S12000042,Dundee City,149320,59.8309,2495.7003822439574
S12000008,East Ayrshire,122010,1262.1276,96.6700989662218
S12000045,East Dunbartonshire,108640,174.489,622.6180446904963
S12000010,East Lothian,107090,679.1798,157.6754785698868
S12000011,East Renfrewshire,95530,174.2495,548.2368672506951
S12000014,Falkirk,160890,297.3655,541.0513324511418
S12000047,Fife,373550,1325.0352,281.9170388831934
S12000049,Glasgow City,633120,174.7139,3623.7528897242864
S12000017,Highland,235830,25657.188599999998,9.19157604040842
S12000018,Inverclyde,77800,160.4506,484.8844441840666
S12000019,Midlothian,92460,353.6818,261.4214245686377
S12000020,Moray,95820,2237.5813000000003,42.823025022599175
S12000013,Na h-Eileanan Siar,26720,3058.7225,8.735673144588958
S12000021,North Ayrshire,134740,885.4138,152.1774338732918
S12000050,North Lanarkshire,341370,469.90930000000003,726.4593401322339
S12000023,Orkney Islands,22270,988.7995,22.522260579622056
S12000048,Perth and Kinross,151950,5285.5934,28.747954770792624
S12000038,Renfrewshire,179100,261.4877,684.9270539302613
S12000026,Scottish Borders,115510,4731.787,24.411496121866854
S12000027,Shetland Islands,22920,1468.0528,15.612517478935363
S12000028,South Ayrshire,112610,1221.9719,92.15432858971634
S12000029,South Lanarkshire,320530,1771.893,180.8969277490232
S12000030,Stirling,94210,2186.9684,43.07789723893587
S12000039,West Dunbartonshire,88930,158.7512,560.1847419106123
S12000040,West Lothian,183100,427.74190000000004,428.0618756310756
S08000015,Ayrshire and Arran,369360,3369.5133,109.61820509804784
S08000016,Borders,115510,4731.787,24.411496121866854
S08000017,Dumfries and Galloway,148860,6426.8724,23.162121594323235
S08000029,Fife,373550,1325.0352,281.9170388831934
S08000019,Forth Valley,306640,2643.3061000000002,116.00623930766095
S08000020,Grampian,585700,8735.8564,67.04551599543234
S08000031,Greater Glasgow and Clyde,1183120,1104.1419,1071.5289402566825
S08000022,Highland,321700,32565.8759,9.8784384300868755
S08000032,Lanarkshire,661900,2241.8023000000003,295.2535109808746
S08000024,Lothian,907580,1723.9554,526.4521344345683
S08000025,Orkney,22270,988.7995,22.522260579622056
S08000026,Shetland,22920,1468.0528,15.612517478935363
S08000030,Tayside,417470,7527.0736,55.46245754791079
S08000028,Western Isles,26720,3058.7225,8.735673144588958
