Generated by http://statistics.gov.scot,2020-06-18T14:38:29+00:00
http://statistics.gov.scot/data/deaths-involving-coronavirus-covid-19,Deaths involving coronavirus (COVID-19)
measure type,Count
Reference Period,w/c 2020-03-30
Cause Of Death,All causes
Location Of Death,All
Sex,All
Measure (cell values): ,Count(Deaths)

,,http://statistics.gov.scot/def/concept/age/all,http://statistics.gov.scot/def/concept/age/0-years,http://statistics.gov.scot/def/concept/age/1-14-years,http://statistics.gov.scot/def/concept/age/15-44-years,http://statistics.gov.scot/def/concept/age/45-64-years,http://statistics.gov.scot/def/concept/age/65-74-years,http://statistics.gov.scot/def/concept/age/75-84-years,http://statistics.gov.scot/def/concept/age/85-years-and-over
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,All,0 years,1-14 years,15-44 years,45-64 years,65-74 years,75-84 years,85 years and over
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,1744,3,2,61,226,333,542,577
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,62,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,54,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,37,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,34,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,124,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,16,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,73,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,46,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,26,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,44,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,26,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,20,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,48,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S12000047,Fife,82,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S12000049,Glasgow City,234,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,68,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,63,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,33,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,25,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S12000013,Na h-Eileanan Siar,6,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,52,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S12000050,North Lanarkshire,117,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S12000023,Orkney Islands,9,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S12000048,Perth and Kinross,43,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S12000038,Renfrewshire,75,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S12000026,Scottish Borders,42,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S12000027,Shetland Islands,8,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S12000028,South Ayrshire,43,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S12000029,South Lanarkshire,114,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S12000030,Stirling,32,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S12000039,West Dunbartonshire,43,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S12000040,West Lothian,45,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S08000015,Ayrshire and Arran,121,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S08000016,Borders,42,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S08000017,Dumfries and Galloway,73,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S08000029,Fife,82,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S08000019,Forth Valley,96,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S08000020,Grampian,141,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S08000031,Greater Glasgow and Clyde,479,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S08000022,Highland,102,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S08000032,Lanarkshire,231,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S08000024,Lothian,228,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S08000025,Orkney,9,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S08000026,Shetland,8,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S08000030,Tayside,126,"","","","","","",""
http://statistics.gov.scot/id/statistical-geography/S08000028,Western Isles,6,"","","","","","",""
